,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10,Cluster11,Cluster12,Cluster13,Cluster14
2129,6898.327842857143,4734.051745833333,6723.975993750001,6448.46016,4603.003981818182,1647.6587000000002,6033.76333076923,4570.807086206897,4003.3384444444437,7276.850058490565,185.0791,4924.6074629032255,918.8709117647059,3117.98093220339,5858.181965934066
2130,7025.368366666667,4311.932754166667,6464.655633333333,6269.73013,4355.655595454546,1563.3591176470588,5873.244463076923,4349.611089655173,3686.3943555555556,7008.492681132076,181.5453318181818,4785.687337096773,892.9983176470587,3123.6506703389828,5713.252808791209
2131,6997.4265476190485,4165.380858333333,6378.1241625,6644.79104,3966.5659272727266,1390.2042205882353,5968.7443507692315,4463.834610344828,3234.4766111111107,6842.896232075472,195.04091363636363,4990.279526612903,899.9333176470589,3485.2493186440674,5655.659341758241
2132,7874.064152380954,4315.678975,6749.627968749999,7665.998890000001,3826.520106818182,1457.531455882353,6312.885426153847,5463.476551724138,3123.9194777777775,6722.0859849056615,218.17253636363637,5504.095395967742,886.5886411764707,4231.287611016949,5644.119697802197
2133,8102.660338095239,4791.041795833334,7224.7093125,8149.216733333334,3631.1871431818186,1428.3111970588236,6655.547503076924,5850.4027448275865,2689.679311111111,6988.448683018869,238.42123181818178,5854.607469354838,879.8359235294117,4674.114040677966,5795.333568131869
2134,7808.690204761906,6020.993183333333,7783.032960416666,8265.831923333333,3179.5906477272733,1302.320011764706,6960.535986153845,5901.543268965516,2327.5977666666668,8103.390818867923,195.88260454545454,5725.034223387097,862.7026999999999,4614.955470338983,5563.024146153846
2135,6138.430371428571,7044.890208333333,7054.186654166667,6487.261823333333,2074.0632477272734,918.6233406147059,6178.301836923078,4161.916306896552,1957.958088888889,7918.193460377358,119.19978181818183,4161.577412096774,679.2883294117646,3128.1199338983056,4253.553165934066
2136,3650.182176190476,6267.806058333333,4701.925022916667,3986.4177133333333,1206.1202568181818,625.0769749088237,3782.3544338461534,2591.5890620689656,971.9461666666666,3712.610666037736,39.33935454545455,2427.8842266129027,379.13210000000004,1850.9554042372883,2314.0454923076923
2137,2099.1896095238094,5128.154925,3082.3979895833327,2406.5079066666663,785.8060477272727,492.3614827294117,2329.2493523076923,1591.0837103448275,615.0705777777778,2623.509081132076,21.50240909090909,1453.899337903226,252.3647294117647,1027.0147305084747,1460.17919010989
2138,1533.374776190476,4596.9757875,2300.9445,1538.5429933333332,536.7913045454545,355.641852317647,1593.7151876923078,1275.3399379310345,315.12975555555556,2573.556203773585,22.260668181818183,1003.804691129032,232.21015294117643,677.5537355932203,1150.6305527472528
2139,1068.7574285714286,3062.7650708333335,1801.40295625,1088.4694,420.89062499999994,211.0107601382353,1230.1531292307693,1064.0931034482758,301.4783555555556,1526.4500018867923,13.677368181818183,756.4089459677419,220.55000588235293,560.408236440678,798.042779120879
2140,921.3091761904764,2346.8377458333334,1271.3451666666667,981.8033766666668,422.6693113636363,200.2762444323529,1009.4731446153847,675.7694482758623,410.6462111111111,526.0574320754716,22.202036363636363,663.5607991935484,195.46477647058822,503.7377601694914,598.8188703296704
2141,1353.8994904761905,3123.8891583333334,1748.5043395833334,1544.2526900000003,590.4820727272728,306.6707110764705,1570.7691507692307,1000.3330448275861,480.9065777777778,744.7972188679245,59.56410454545455,868.946289516129,280.16309411764706,783.7644245762712,816.3423010989012
2142,2862.776547619048,4244.095733333333,3108.0066833333335,3375.573463333334,1436.2447613636364,739.3747189,2650.9708953846152,2055.843172413793,905.1811111111111,1461.3688188679248,75.39082727272728,1818.2149387096774,314.07149411764703,1545.5595330508474,1853.7167597802197
2143,4482.357,5211.430850000001,4616.448795833334,3961.88792,3496.5781590909087,1977.0278384852945,3853.522013846154,2574.3951344827587,1593.4366777777777,5240.412308301887,105.52954090909093,3046.494208092742,610.8072411764706,1902.4712313559323,3832.5787989010983
2144,4322.882419047619,4839.8739,4406.488714583334,3499.151533333333,4295.695436363636,2890.345116897059,3668.717587692307,2310.4079,2028.7120222222225,5502.694510943397,107.29039090909092,3113.8303287258063,714.764305882353,1658.6720466101697,4376.036012747253
2145,3938.096895238095,4186.121941666667,3978.7250291666664,3361.1887366666665,4620.614193181818,3318.965345305882,3150.408889230769,2092.1300827586206,2029.821388888889,4846.211749433964,138.19744090909091,2956.9178319274192,693.4492,1371.497116949153,4477.568659560439
2146,4083.429271428572,4183.459325,4071.297979166666,3350.7445799999996,4834.698479545455,3569.5285825382357,3045.6350353846155,2078.7774482758628,2143.6631333333335,4779.700306792453,117.75746818181818,2928.5531764274197,641.6801823529413,1404.0906127118642,4745.231110769232
2147,4199.765614285714,4306.504820833333,4177.821427083333,3432.95214,4935.315756818181,3596.3617403617645,3120.2434969230767,2107.691,2420.118511111111,4757.464986792453,117.70603636363636,3044.948526612904,490.0189871511764,1433.6958601694917,4898.482853846153
2148,4578.97679047619,4463.7835625,4143.836977083333,3481.0112433333334,4933.405888636363,3479.549282352941,3309.954036923077,2189.6006793103447,2461.4503888888885,4995.789841509434,129.52652727272726,3249.542289516129,631.7544478917647,1454.5501881355935,5046.711648351649
2149,4673.387990476192,4565.384183333333,4180.972547916666,3707.3469366666673,4859.850254545455,3490.960394117647,3462.570064615385,2237.472031034483,2712.1053444444447,5277.699535849056,128.2896681818182,3423.8871116935484,574.4852525064706,1556.4179194915257,5136.579893406593
2150,4628.913785714285,4460.8160625,4182.8870937500005,3537.690283333333,4782.874729545453,3468.069214705882,3588.2265353846155,2299.145806896552,2681.825877777778,5264.2406584905675,147.1356,3342.0920887096777,620.5500806505883,1573.9063059322034,5138.943041758242
2151,4705.7074095238095,4487.400525,4344.495175,3553.1035600000005,4622.169952272728,3387.1563676470582,3649.305389230769,2338.4496241379316,2670.555922222222,5410.518416981132,119.06689545454546,3369.8726822580643,555.4588370341176,1532.4581889830506,4959.641546153846
2152,5049.475366666666,4664.012004166666,4736.153275,3905.450883333333,4778.905672727273,3187.398194117647,4087.9375923076923,2707.7413931034484,3017.7282888888885,5861.358230188679,163.14503181818182,3564.3038564516132,875.2344814752942,1824.72616440678,5215.9476
