"rmse" "mae"
"111006" 1.58896586025866 1.26060950581233
"111010" 2.62694930279884 2.17668994777165
"111017" 2.3595136221003 1.94006957073363
"111018" 1.78235586130518 1.29589066644245
"111020" 2.05001219921762 1.62685487678467
"111028" 1.28672250229376 1.07807783714779
"111064" 3.865097483662 3.36464907739125
"111065" 2.23381933707379 1.90617513861278
"111095" 1.85611839646937 1.46158342769259
"111096" 2.34620319202215 1.6663222738372
"111102" 5.68682340584891 4.954091532079
"111106" 2.08698806404358 1.52758035754552
"111115" 1.50615153973251 1.09205010354027
"111123" 2.27283911758096 1.82959501161273
"111134" 1.79350422123766 1.4516018177199
"111136" 2.25183289724636 1.93547261768825
"111165" 1.86350665757277 1.34607010228142
"111183" 2.273482623903 1.88147881939146
"111212" 2.47068038911986 2.04419606311889
"111217" 2.30659185163505 1.91726374826734
"111388" 2.0919997622092 1.65075725160175
"111397" 1.98227387555112 1.72609131688012
"111399" 1.98298943159042 1.60073184992018
"111407" 1.93092576860259 1.54220792629302
"111555" 1.67340629351865 1.35399649711791
"111577" 4.58367252631415 4.01187404942437
"111582" 2.28003897631125 1.77965184703403
"111583" 1.92699594136851 1.50407898156302
"111626" 2.79789537628701 2.35146236722583
"111634" 2.75819459041319 2.42861043925664
"111639" 1.87338993994569 1.58366951442597
"111657" 1.68195274056166 1.2483004160548
"111720" 1.73741959192001 1.33226049612136
"111726" 3.19416602835823 2.60388361201968
"112037" 3.31719483643673 2.55379428951021
"112062" 1.69719397350591 1.34602404529481
"112084" 3.52875083522322 2.54327303687504
"112087" 1.86303358630776 1.5675574947342
"112105" 2.54860776188826 2.13607162314975
"112131" 4.13137563426939 3.66198076162944
"112146" 2.00920304293104 1.50112049682859
"112149" 2.91864783952605 2.4574155160586
"112167" 4.16157544636575 3.51496666500455
"112173" 4.49457268232897 3.83586953871288
"112186" 2.41715067261265 2.01713934597742
"112188" 4.9302109274933 4.47940426140891
"112199" 2.07500699726617 1.66629835311042
"112208" 2.07935204064083 1.71370551319274
"112209" 5.25817835827129 4.75983829420029
"112211" 1.58559215788418 1.30956202487946
"112222" 2.29870100143752 1.78512601471856
"112230" 2.35179472104398 1.83683156071315
"112252" 3.09717295694609 2.39962890821941
"117111" 1.31466897014693 1.05517789845542
