"rmse" "mae"
"111002" 1.49069404044742 1.18925845221641
"111009" 0.972954477627259 0.778754992312098
"111011" 1.05212186275896 0.841953807737335
"111019" 1.43596557227685 1.21118511138416
"111025" 0.878909496083364 0.738434807870123
"111027" 0.966037140651707 0.743885541447761
"111032" 0.857595819834828 0.640552243846182
"111033" 1.13175579644298 0.885438248166962
"111035" 1.28853303574863 1.02422478550729
"111037" 1.24550396674944 0.972291245452184
"111039" 0.759829993238714 0.607843491072125
"111040" 0.75321734564972 0.596539499263536
"111042" 1.48263392547254 1.30299900811513
"111046" 0.624464409613116 0.523269648158739
"111051" 1.1025517930991 0.885740220790439
"111052" 1.70653791474743 1.42000674806247
"111054" 2.07525888339395 1.84085302742474
"111055" 1.34444172236472 1.17851877752486
"111060" 1.0878969973355 0.883383563076882
"111061" 0.701518827223382 0.549824256011418
"111066" 0.840445753810843 0.69276140356745
"111069" 0.862826971554224 0.665743580019285
"111070" 1.35005133414443 1.11627017372411
"111071" 1.00272989716428 0.758020839668077
"111073" 0.811707888840983 0.628527276754001
"111076" 1.70876688872138 1.28937633644702
"111079" 0.76824582425414 0.644448447556344
"111080" 0.853886106010458 0.649378120952561
"111081" 1.61395119128216 1.25194829491471
"111087" 0.967272379329513 0.810436804426663
"111094" 0.902462352329767 0.668708439984397
"111097" 1.37177137522239 1.15061311696238
"111104" 1.02009286951604 0.746895044717335
"111105" 1.21369306849909 1.00042638417653
"111109" 0.883711231737403 0.652805519501747
"111117" 1.53765942153809 1.21500103686575
"111118" 0.938939211953876 0.772763570275761
"111125" 0.848851934868274 0.545639214068746
"111130" 1.81139382616453 1.09058106244405
"111131" 1.40839456563154 1.05937884622737
"111133" 1.76114990020629 1.37475558851711
"111142" 0.913956117909493 0.721143092275044
"111146" 1.04340645336852 0.815102367743613
"111148" 0.751533246865206 0.573364758813949
"111150" 0.771489696369288 0.621234737352719
"111154" 1.1508650933318 0.942599105634387
"111159" 1.4171472710837 1.0874885066532
"111160" 1.34859562457202 1.04340124779315
"111161" 1.32495480775327 0.93560976377139
"111164" 0.920973911424438 0.730977133375122
"111171" 1.2929473558439 0.984230927710685
"111174" 0.726569058420049 0.540831153823837
"111175" 0.863849165596809 0.67016493303473
"111176" 1.04086653295616 0.835996449673365
"111179" 1.17642604882131 0.845987979139979
"111180" 1.00307612983317 0.817910152185152
"111182" 1.30667829824713 0.978090974045557
"111184" 1.25158267090608 1.02359801307292
"111187" 0.963936504141876 0.848314476360215
"111190" 0.931436525208261 0.72010967236587
"111192" 0.811367464072503 0.653424173677157
"111195" 1.27441368343653 1.02764547710381
"111197" 1.45871810617172 1.06802985097075
"111198" 1.21554543375432 0.905118266319472
"111199" 0.75095401109474 0.583545752651729
"111205" 0.743889990048173 0.564371410789187
"111213" 1.16494947944135 0.973805062763653
"111214" 0.718002160563468 0.585788349129662
"111219" 0.878291990677831 0.647160345963826
"111226" 1.04143465038901 0.748811189518656
"111227" 0.728898232429915 0.572002873567172
"111228" 0.892949781224933 0.715484723805624
"111242" 0.870947593831326 0.694671193681066
"111243" 0.857093165563372 0.670772203557453
"111258" 0.899549683772058 0.662458501434705
"111262" 0.748148921509707 0.5516592368932
"111275" 0.741275881523122 0.572815058578764
"111278" 1.030525141982 0.877516483743985
"111279" 1.31473982469016 0.950680972726383
"111301" 0.841504654888147 0.570198201500423
"111302" 0.845253667687656 0.667144502942146
"111389" 0.825805275816986 0.668226403813892
"111392" 0.982631956327172 0.736000797336821
"111395" 1.15583252183882 0.934532123754138
"111401" 1.03096755024038 0.866154705436646
"111402" 1.02476428043931 0.848099396725306
"111404" 1.26335738271133 0.98354736395904
"111410" 0.939480348493454 0.747385862637323
"111411" 1.29107082171766 1.08363906216621
"111412" 1.06997611225528 0.748093080450997
"111413" 1.54596490694086 1.33054243521653
"111414" 0.949356128827019 0.785122399853903
"111418" 1.19238619389014 0.892858131095341
"111419" 0.578443570377055 0.431419472196367
"111426" 1.49118141174449 1.21708300122458
"111433" 0.699991601841938 0.561087540184505
"111546" 0.863372225298683 0.63258452640261
"111547" 0.960284470477589 0.758569041261597
"111549" 0.950240013635609 0.760477891526525
"111557" 1.92148883838398 1.59879761640836
"111559" 0.639657565364157 0.449754385898984
"111561" 1.3286891695584 1.02549027293599
"111562" 1.48265521885508 1.13340084650289
"111563" 1.02295877924762 0.843394325069776
"111564" 1.07262298358897 0.835154137005125
"111567" 1.02335318238086 0.817785802822643
"111570" 0.887668727600912 0.718447247003941
"111574" 0.934430140679391 0.778263403330909
"111576" 1.08618716345252 0.854805638559659
"111580" 1.40288244915699 1.02132878815749
"111586" 1.48313168036851 1.10452406625672
"111590" 1.33056114664697 0.981187326966581
"111593" 1.1416350467129 0.879562062131791
"111599" 0.762031997439376 0.61739480954806
"111600" 0.987769583173587 0.814526121169802
"111623" 1.22961785444139 1.08536687758082
"111628" 1.47483440634278 1.13998732835982
"111633" 0.938074931850843 0.760922024345966
"111637" 1.92512634112361 1.68239228400167
"111642" 0.855907912818031 0.66953877062192
"111644" 0.875647225958274 0.694351914019812
"111652" 0.940769229921226 0.744692058427372
"111653" 1.4637735214346 1.18422131274087
"111654" 0.654301172268102 0.494589073221267
"111655" 0.661847961573822 0.533030490776849
"111663" 0.761026790441464 0.574898012979447
"111664" 1.5373358435835 1.21216973797632
"111678" 1.2564312697495 0.988925878786284
"111679" 1.524126911958 0.954967665911856
"111680" 1.82469736323365 1.26405344021434
"111682" 0.793010863620303 0.644069026581068
"111683" 0.989140638662574 0.811193695913042
"111685" 1.11960013334874 0.788372513489875
"111687" 0.569471057481865 0.470786560932417
"111689" 1.26198567003529 0.958876941048153
"111690" 1.29053873415441 0.944071504965661
"111696" 1.27725943702303 0.953542536595511
"111697" 1.62202576585299 1.18478936460813
"111698" 1.87270742879208 1.38666922762545
"111700" 1.1357243119581 0.908191734254171
"111701" 1.29941546269531 0.980820351112457
"111702" 0.911745533021022 0.753324049722959
"111709" 0.778001692220403 0.622353112088688
"111710" 1.66598254818167 1.25971643015581
"111722" 0.92443747426619 0.731443127316142
"111732" 1.8912461421571 1.58479656725313
"111733" 1.60316291051671 1.19057034513421
"111736" 1.10068044809759 0.903380467465946
"111742" 1.16323617767339 0.914614218906751
"111743" 0.934134821691879 0.711439535259065
"111744" 1.02473191481013 0.808375238552548
"111746" 0.929992723073367 0.643003176287621
"111747" 0.925942393844948 0.690212995738075
"111749" 0.98728534126622 0.835344202829921
"111759" 0.743845047570582 0.562244363405591
"111765" 1.01746842495881 0.845095615172008
"111809" 1.17274784515124 0.941895151993963
"111821" 1.56038740088639 1.24563457610456
"111833" 1.15243975553829 0.902952230172687
"111835" 1.66245863103576 1.0619962991934
"111836" 0.835174099304744 0.670461259481264
"111841" 1.05222351671737 0.825083578070383
"111848" 1.12957316670653 0.941541727152136
"111849" 0.722214001587727 0.568428422472212
"111852" 0.854787941347298 0.662951868924262
"111853" 1.05206562625318 0.900004783021836
"111858" 1.45034780050724 0.976478431532875
"111859" 0.819682158997159 0.621463432112005
"111861" 0.686349467930572 0.509916764396334
"111864" 0.648326953721508 0.511124905203638
"111865" 1.07151539311597 0.887908905949668
"111866" 0.762604059448381 0.624564659523586
"111867" 1.12830687945234 0.926449965659777
"111870" 0.995458825526347 0.71023677296752
"111874" 1.23767881702159 1.07514055856599
"111876" 0.669241069742614 0.540271632166514
"111890" 1.2962454431727 0.980299599587917
"112033" 1.3671005570068 1.01259875500278
"112072" 1.07989499794635 0.861639587700935
