,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
111.0,111422.0,0.0,111663.0,0.0,112259.0
112.0,111424.0,0.0,111664.0,0.0,117109.0
113.0,111432.0,0.0,111666.0,0.0,117116.0
114.0,111434.0,0.0,111668.0,0.0,113003.0
115.0,111435.0,0.0,111669.0,0.0,0.0
116.0,111437.0,0.0,111676.0,0.0,0.0
117.0,111546.0,0.0,111678.0,0.0,0.0
118.0,111549.0,0.0,111682.0,0.0,0.0
119.0,111551.0,0.0,111683.0,0.0,0.0
120.0,111559.0,0.0,111684.0,0.0,0.0
121.0,111565.0,0.0,111685.0,0.0,0.0
122.0,111574.0,0.0,111697.0,0.0,0.0
123.0,111576.0,0.0,111700.0,0.0,0.0
124.0,111577.0,0.0,111701.0,0.0,0.0
125.0,111578.0,0.0,111708.0,0.0,0.0
126.0,111579.0,0.0,111709.0,0.0,0.0
127.0,111582.0,0.0,111722.0,0.0,0.0
128.0,111583.0,0.0,111729.0,0.0,0.0
129.0,111604.0,0.0,111742.0,0.0,0.0
130.0,111609.0,0.0,111743.0,0.0,0.0
131.0,111617.0,0.0,111747.0,0.0,0.0
132.0,111627.0,0.0,111752.0,0.0,0.0
133.0,111633.0,0.0,111762.0,0.0,0.0
134.0,111638.0,0.0,111763.0,0.0,0.0
135.0,111639.0,0.0,111765.0,0.0,0.0
136.0,111642.0,0.0,111772.0,0.0,0.0
137.0,111643.0,0.0,111818.0,0.0,0.0
138.0,111645.0,0.0,111822.0,0.0,0.0
139.0,111650.0,0.0,111837.0,0.0,0.0
140.0,111651.0,0.0,111838.0,0.0,0.0
141.0,111652.0,0.0,111841.0,0.0,0.0
142.0,111655.0,0.0,111844.0,0.0,0.0
143.0,111656.0,0.0,111846.0,0.0,0.0
144.0,111657.0,0.0,111849.0,0.0,0.0
145.0,111673.0,0.0,111852.0,0.0,0.0
146.0,111674.0,0.0,111854.0,0.0,0.0
147.0,111681.0,0.0,111860.0,0.0,0.0
148.0,111686.0,0.0,111864.0,0.0,0.0
149.0,111687.0,0.0,111865.0,0.0,0.0
150.0,111690.0,0.0,111870.0,0.0,0.0
151.0,111719.0,0.0,111877.0,0.0,0.0
152.0,111720.0,0.0,111882.0,0.0,0.0
153.0,111726.0,0.0,111890.0,0.0,0.0
154.0,111735.0,0.0,111999.0,0.0,0.0
155.0,111736.0,0.0,112057.0,0.0,0.0
156.0,111745.0,0.0,112075.0,0.0,0.0
157.0,111746.0,0.0,112076.0,0.0,0.0
158.0,111758.0,0.0,112083.0,0.0,0.0
159.0,111759.0,0.0,112088.0,0.0,0.0
160.0,111806.0,0.0,112092.0,0.0,0.0
161.0,111809.0,0.0,112098.0,0.0,0.0
162.0,111819.0,0.0,112101.0,0.0,0.0
163.0,111821.0,0.0,112110.0,0.0,0.0
164.0,111833.0,0.0,112111.0,0.0,0.0
165.0,111836.0,0.0,112115.0,0.0,0.0
166.0,111842.0,0.0,112120.0,0.0,0.0
167.0,111843.0,0.0,112122.0,0.0,0.0
168.0,111845.0,0.0,112123.0,0.0,0.0
169.0,111848.0,0.0,112124.0,0.0,0.0
170.0,111851.0,0.0,112126.0,0.0,0.0
171.0,111856.0,0.0,112133.0,0.0,0.0
172.0,111859.0,0.0,112136.0,0.0,0.0
173.0,111861.0,0.0,112137.0,0.0,0.0
174.0,111862.0,0.0,112140.0,0.0,0.0
175.0,111883.0,0.0,112144.0,0.0,0.0
176.0,111884.0,0.0,112145.0,0.0,0.0
177.0,112037.0,0.0,112150.0,0.0,0.0
178.0,112059.0,0.0,112160.0,0.0,0.0
179.0,112062.0,0.0,112163.0,0.0,0.0
180.0,112069.0,0.0,112164.0,0.0,0.0
181.0,112073.0,0.0,112165.0,0.0,0.0
