"Metrics..rmse.forecasted_true..j....forecasted..j..." "Metrics..mae.forecasted_true..j....forecasted..j..."
"1" 2.03643430281032 1.63490886121445
"2" 1.5733336831308 1.1547736715217
"3" 1.66535352068558 1.373728096405
"4" 4.02830120193555 3.77782361829636
"5" 1.55384060320243 1.2018634081893
"6" 1.52512869078724 1.25734114060559
"7" 1.81168927479305 1.47039320326181
"8" 1.66505977586803 1.37613568316099
"9" 1.48572256276986 1.04862137965794
"10" 1.99616313035959 1.66721599987014
"11" 3.49495046994066 2.5638265257958
"12" 2.34489301915627 2.02627035790089
"13" 1.83659534784027 1.51768853100974
"14" 2.31108658237891 1.97915345178168
"15" 1.99296462022587 1.69361386152585
"16" 3.31563340590338 3.07647529915151
"17" 1.7291326617479 1.41630536062668
"18" 2.29444873712777 2.07631252199219
"19" 1.60331643459919 1.31377923146589
"20" 2.00618810126864 1.64331693516541
"21" 1.80059626789861 1.50501555074108
"22" 1.3359193454354 1.10435207650089
"23" 1.49997091546281 1.18999230651998
"24" 2.28556458949573 1.99740597054195
"25" 1.82556865260884 1.52631336773454
"26" 2.31906823713778 1.93284367168955
"27" 1.52250614707876 1.21518604720102
