"rmse" "mae"
"111048" 0.628249496958097 0.466393794305173
"111083" 1.2238289621132 1.03288696379037
"111086" 0.94445984394538 0.781968440786241
"111132" 0.609585830837052 0.506924301882017
"111138" 1.0593550684065 0.897602404680517
"111144" 0.634162033313386 0.435172706907325
"111147" 1.01479768205474 0.788497255919282
"111149" 0.918033089526993 0.640054355412627
"111158" 0.747894653902209 0.575124480913461
"111167" 1.0149774477906 0.843714992326403
"111194" 0.774871309606609 0.552785890793611
"111196" 0.864663723409832 0.688358371629791
"111202" 0.39304421284505 0.356870771538644
"111207" 0.398038353176877 0.299295846215127
"111268" 0.9658163160304 0.817660696398455
"111373" 0.621116198157435 0.618471874807751
"111396" 0.592594295646955 0.423943517970093
"111429" 1.06266370868037 0.875606086020053
"111436" 0.589144911045082 0.566978794773893
"111437" 0.956973548464742 0.888284857450213
"111438" 0.316672975690323 0.27075228028503
"111439" 0.701640093564244 0.46695111326774
"111440" 0.339313477040333 0.289669329020712
"111569" 0.3439834488605 0.30662776297047
"111587" 0.382299726218793 0.355524348086403
"111589" 0.531136325714342 0.522430540477662
"111635" 0.509815905832792 0.385341663168726
"111661" 1.04428076755004 0.739816567895526
"111673" 1.30537390671701 1.18340087567606
"111676" 0.906849199760807 0.702817522843679
"111735" 0.246294970514138 0.194194760918617
"111738" 1.64539150823317 1.2883100788493
"111767" 0.459701575222649 0.329344159850431
"111773" 0.660081168530631 0.589023929500769
"111774" 0.53638790351293 0.527642371071331
"111809" 1.41789587022506 1.30811072335357
"111818" 0.250038712098429 0.212344496073609
"111823" 0.578028127613465 0.448420794079606
"111839" 0.333768466838977 0.299955040498007
"111854" 0.526368668522829 0.387065288295254
"111860" 0.803250511818729 0.628385376809514
"111873" 0.563501799949529 0.54849262044373
"111874" 1.19860573800406 1.03144787763253
"111875" 0.614469355453128 0.490142398630059
"111877" 0.419222585418657 0.318949307268763
"111887" 0.616874462534615 0.613388071309763
"111892" 0.662108733031785 0.508896484760633
"111895" 0.355820065599649 0.32552472528749
"111896" 0.523732442624175 0.500960994188748
"112009" 0.571681398469382 0.565272984070437
"112030" 0.44382924821979 0.418455651153269
"112031" 0.444254657690923 0.416891843816212
"112038" 0.463031679737615 0.377316419213348
"112044" 0.556545331539241 0.547728183128153
"112054" 0.623939730153041 0.620736614855509
"112055" 0.593734132118688 0.587105547886046
"112057" 0.404816426514672 0.333187622268427
"112063" 0.602877477435991 0.590037217807202
"112065" 0.632648851401877 0.630847102466084
"112066" 0.499398450661444 0.482690212288357
"112067" 0.426083680449101 0.402478678149647
"112099" 0.488619117388487 0.396410346768962
"112100" 1.12285762912122 0.666073352866892
"112114" 0.748650275964054 0.604686946990187
"112152" 0.60967522632041 0.498807134268776
"112153" 0.305075979047996 0.26618787936502
"112154" 0.379712501583103 0.317952077527273
"112157" 0.477644229329068 0.350245504136313
"112158" 0.793813168734634 0.651735962852221
"112162" 0.376071728629956 0.302082165173879
"112174" 0.557284853618956 0.549669721520515
"112175" 0.654390019518842 0.580170246650681
"112176" 0.539903513149541 0.404194326625268
"112178" 0.237485498173183 0.196434917364423
"112180" 0.804047881763017 0.650976010231934
"112181" 0.522128285065008 0.416896750943434
"112189" 0.315757256647492 0.262359092429328
"112190" 0.352599665503436 0.284052344713325
"112192" 0.291733108587862 0.236138982871979
"112195" 1.35541694842132 1.25018383496129
"112197" 0.569368293179827 0.562302523868803
"112198" 0.977965409376697 0.770547843442834
"112203" 0.530211848352337 0.50935083540205
"112204" 0.28813092754521 0.241876123530903
"112206" 0.27033622973583 0.228390184912227
"112207" 0.302830500213357 0.254753640525871
"112210" 0.348733019094835 0.299377150162439
"112212" 0.325938613486102 0.265754286736345
"112214" 0.314635485762091 0.250083131108965
"112215" 0.710861880249623 0.557931860618175
"112216" 0.355643929166718 0.322157188895073
"112217" 0.617325298895527 0.614724639977349
"112218" 0.52186881166126 0.368440665081001
"112219" 0.248074007786818 0.19384530858142
"112221" 0.584837953065782 0.578801759533087
"112223" 0.527754628180122 0.516118953264895
"112226" 1.06312932988396 0.972373381797851
"112227" 0.303832163616608 0.241891679435306
"112231" 0.479765459611942 0.465027972396782
"112232" 0.422226263220964 0.409773347768329
"112233" 0.260069421504353 0.21506768944623
"112237" 0.689365253484711 0.570897431643804
"112238" 0.631004192461112 0.629092364635354
"112240" 0.563546570381256 0.546067606319321
"112242" 0.459374631533689 0.345184606080017
"112243" 0.688375879747494 0.606628156842126
"112245" 0.971729974466727 0.863028264539393
"112247" 0.589397679089205 0.574287898361872
"112249" 0.453783715841584 0.385018254566003
"112251" 1.18234379588741 1.08765262425532
"112253" 0.366004103912248 0.278847547519207
"112254" 0.345041117500774 0.265883747773511
"112255" 0.448338882113436 0.42507918462337
"112256" 0.439753787026725 0.40214817524278
"112259" 0.365498375261152 0.290299526927206
"112261" 0.600183459877028 0.513033235398739
"112262" 1.01433811438619 0.925930342017658
"112264" 0.615935680851412 0.606649127519131
"112265" 0.571096322687967 0.550429250831642
"112266" 0.651651465584087 0.538629436035951
"115001" 0.627725660694819 0.625950241956446
"117109" 1.06487385027861 0.807251030747096
"117130" 0.63492687371073 0.631278474534315
"113003" 0.668621931595864 0.538921856019791
