"rmse" "mae"
"111015" 1.67162729441882 1.32121944355889
"111016" 2.19082354069397 1.75995690244039
"111020" 2.48395394253187 1.9041889293489
"111021" 1.03727831976586 0.842048504310184
"111022" 1.62740435277356 1.31623646492277
"111023" 2.78125528510762 2.22981920948785
"111024" 1.32134239530749 0.965898688656186
"111041" 2.29947118400988 1.88679730846163
"111045" 3.40747587693716 2.33165194986964
"111047" 2.18960782376291 1.62206075626782
"111049" 2.66236704578616 1.81182665562403
"111056" 2.74926537767381 2.29241780345629
"111067" 2.79833371070043 2.31967502468805
"111072" 2.7019232020514 2.07770561734608
"111074" 1.48858379510093 1.17944910976092
"111077" 1.41979398646897 1.09110187685225
"111078" 2.29644491208622 1.81235938470629
"111082" 1.50656552837256 1.26340006242631
"111084" 1.50111736718749 1.19980445428349
"111085" 2.18692598749968 1.75154753243507
"111092" 1.62357946804882 1.26554957123862
"111100" 1.66673469176579 1.36150745408573
"111103" 1.43421784827827 1.18604316589416
"111110" 2.42962746431833 1.98317429780052
"111119" 1.65298450551855 1.23575762432114
"111120" 1.49388282063823 1.20363365197712
"111128" 1.15941644507683 0.917583127674981
"111135" 1.45204691969767 1.13541283609148
"111141" 2.28290149354894 1.88565103839087
"111156" 1.97419260896014 1.52614108475428
"111166" 2.09194920771368 1.68826778953038
"111170" 2.91537718093204 2.52045698041916
"111173" 2.0596968302881 1.66182226720462
"111181" 1.35205119482869 1.1117817426076
"111185" 1.73784784988106 1.37600517435755
"111191" 2.0079043556044 1.6195631361757
"111200" 2.31528945734637 1.91132245245283
"111201" 2.33023122438954 1.94158744558077
"111206" 1.29669270716196 1.05949499892356
"111211" 2.8121006586428 2.08074768935461
"111218" 2.3542996510546 1.63217916459356
"111221" 1.55614197598266 1.35312516547687
"111223" 2.11968284193158 1.75537095600991
"111224" 2.41348114090969 2.08800772417008
"111229" 2.30173993396174 1.83657960080344
"111230" 2.10101281939623 1.63259558018124
"111244" 2.10090419195998 1.70003191628532
"111245" 2.1888644554865 1.69913227773015
"111267" 1.67938643825405 1.39537252148825
"111271" 2.31845544275871 1.8221998823234
"111276" 1.73182988061322 1.46481470497676
"111277" 2.24511618896211 1.85603688082241
"111300" 2.30518572015917 1.73461764169042
"111387" 2.50884434352979 2.06814985610644
"111390" 1.94516892888872 1.5117801823828
"111393" 2.84615995576573 2.4212702843439
"111406" 1.94582029889103 1.61136037751985
"111408" 1.21520946838107 0.940998195131998
"111415" 1.55112982012222 1.0194355320378
"111417" 1.63517642067222 1.2743765092002
"111422" 1.80956251340894 1.17098171941212
"111424" 2.16549163134189 1.79757874832986
"111430" 1.9197383184413 1.4196398786893
"111431" 2.96027590067953 2.56183272254883
"111432" 1.53412327734309 1.27510539360198
"111434" 1.05358524945293 0.817613643745392
"111578" 3.05667157553715 2.24380469549119
"111579" 3.5589802928325 2.75503572767121
"111585" 2.47957814569562 2.0919377203684
"111609" 2.58990159639547 1.93312431082953
"111624" 2.7153126623243 2.12427034636225
"111629" 1.60759411888004 1.27456153269268
"111632" 2.69986898622842 2.03357042229668
"111639" 2.01685819624483 1.58723395378855
"111645" 1.46095266840577 1.19087372768114
"111647" 2.23568580787728 1.72741957695522
"111649" 3.00464251115051 2.34513422198901
"111656" 1.94155413754617 1.47466734008032
"111658" 2.06850564889485 1.64468673752149
"111662" 2.13944023170435 1.7077199770829
"111666" 2.99408202976934 2.44634809312291
"111667" 4.68633527970362 4.36648033930612
"111681" 1.87135895820375 1.50368631767848
"111708" 1.91969891907056 1.48829352934474
"111719" 2.31787380767734 1.73556133063256
"111729" 1.85189287114206 1.48210374798396
"111745" 1.64305039606984 1.32661191937204
"111750" 1.66582852382179 1.32655814892602
"111751" 1.83797145742365 1.48975216158534
"111758" 1.79404558495431 1.34737371670405
"111806" 4.02194520768835 3.11317264147486
"111832" 1.42680609241453 1.13105261175443
"111842" 1.63126578175249 1.29917468914834
"111885" 1.75710202440378 1.45898684330289
"112059" 1.90449894118778 1.57000092264433
"112069" 1.47964988269422 1.18280032634508
"112070" 1.70363899522345 1.39519865076504
"112076" 2.21409000599533 1.87326379896346
"112077" 1.03110256236473 0.777987359912055
"112081" 1.9947167327449 1.58798559254692
"112085" 1.4462262829296 1.21756189262526
"112086" 1.10890099034173 0.87698351748633
"112094" 1.48378766986898 1.27299896922339
"112097" 2.30394554712774 2.10379729596849
"112098" 1.92859638750741 1.54491179625647
"112106" 1.30362355924159 1.06324372811242
"112113" 3.86344494896791 3.34380476501177
"112117" 2.35850383789634 1.72101661279239
"112118" 1.83282684974584 1.54516567119265
"112121" 3.1473824478557 2.61211912894854
"112129" 1.60717825594434 1.21141167418843
"112130" 1.84487750056879 1.4055784218054
"112132" 2.39919901404359 1.72288274526975
"112135" 1.86833707164428 1.46271099794933
"112144" 2.50301037445926 1.92281222814076
"112147" 2.35430546848508 1.81622861026355
"112169" 2.58054723135428 1.9368328076128
"112187" 2.18408579430472 1.80171500074296
"112200" 2.33347732875976 1.85581643916236
"112229" 2.9423115157126 2.27907660298272
"112250" 2.1811759093678 1.68896133688215
"117107" 1.97016757900502 1.31978356462963
"117112" 2.77111817542225 1.98861629436508
