"rmse" "mae"
"111014" 0.0771628316958824 0.064675906162589
"111048" 0.571020836763011 0.481833188245921
"111050" 0.488189934273827 0.330559198378059
"111070" 0.514268835357424 0.394236427108484
"111083" 0.481390695885789 0.346276292156334
"111086" 0.568852124855676 0.414316763322182
"111111" 0.599600382246107 0.390739208711032
"111132" 0.377241736824226 0.293331857834278
"111138" 0.704825007593226 0.598869187073266
"111139" 0.746426144429862 0.540006602240434
"111144" 0.522721967217082 0.326601407041691
"111147" 0.55805327913594 0.423976456912573
"111149" 0.550527749731493 0.381121106439904
"111157" 0.518010589697951 0.36209280037372
"111158" 0.53959231297352 0.326612243582756
"111167" 0.509466497729069 0.435529457440719
"111180" 0.35551308435465 0.281793568269271
"111194" 0.655873439942324 0.486197668171792
"111195" 0.577284323398425 0.387906988397326
"111196" 0.453524908991204 0.305995363765882
"111202" 0.202482408251335 0.136684548717993
"111204" 0.613303455452613 0.420361234042794
"111207" 0.3842090429398 0.312377821449868
"111210" 0.369467189197019 0.286050942255624
"111231" 0.502121930388362 0.341434055302394
"111268" 0.458245429301801 0.393973073629888
"111269" 0.534216032879758 0.371493356728889
"111373" 0.0757059700950983 0.0628696874879296
"111395" 0.674111818783639 0.450690579508069
"111396" 0.385660834099794 0.24586198345246
"111416" 1.04342747336619 0.727716183627686
"111425" 0.457236490556505 0.366787657612085
"111426" 0.962683630584903 0.72502269821736
"111429" 0.399579706210325 0.292979103382596
"111436" 0.261038579664496 0.209568384942099
"111437" 0.415718315267397 0.322941323535726
"111438" 0.173757927703032 0.137204851199353
"111439" 0.587569815789612 0.38318346168476
"111440" 0.20519481616853 0.136279477564189
"111569" 0.165214254156781 0.127536690026053
"111587" 0.107770716857684 0.0845515087343068
"111589" 0.0941567310887855 0.074329463019486
"111598" 0.523656609733541 0.372989237418452
"111610" 0.549536800596939 0.372587671600451
"111631" 0.742243356020407 0.47728134098229
"111635" 0.26605012370173 0.213807034200425
"111637" 0.959599824980352 0.658010008408348
"111653" 0.928839584269733 0.677924255112544
"111661" 0.55891447409043 0.402650099240463
"111670" 0.897654067064877 0.622513734708663
"111673" 0.595115923567147 0.401687766804527
"111676" 0.464162200226579 0.376256529367324
"111678" 1.02663181820554 0.854293237239146
"111683" 0.515305456220901 0.380853919417998
"111684" 0.651762437155527 0.525739359739931
"111732" 1.13097056769521 0.665454622652443
"111735" 0.215030193976629 0.181516287093408
"111736" 0.5083544627069 0.357127559055667
"111738" 1.16070846523714 0.635508863023585
"111762" 0.589878205429832 0.422139224172357
"111767" 0.35509747983951 0.257946045892111
"111773" 0.678797240569599 0.498559959516104
"111774" 0.120595781904818 0.0781628293607183
"111809" 0.406949711745585 0.314645782759375
"111818" 0.174253551739548 0.128647151002419
"111823" 0.411259912642462 0.307478524388122
"111837" 0.631479891693205 0.499587244743173
"111839" 0.237944906704975 0.200731562179781
"111853" 0.769992022232523 0.608688302165092
"111854" 0.301802814365201 0.219089772576829
"111855" 0.56910296852033 0.434437474036909
"111860" 0.274305964602478 0.220185781224681
"111865" 0.65170519331871 0.523470407627364
"111867" 0.484694500815031 0.377370414306156
"111873" 0.0996314998900042 0.0752604661966093
"111874" 0.542736862135288 0.392948119540652
"111875" 0.47964613610932 0.377270972411825
"111877" 0.187247191023861 0.145668318142295
"111886" 0.650964944319575 0.564315991497383
"111887" 0.0812499385154575 0.0683087537855045
"111892" 0.563425977221743 0.417489325338562
"111895" 0.168131605078697 0.121028974124908
"111896" 0.180169994011682 0.120292906447721
"112009" 0.128680191678539 0.109008504276704
"112030" 0.104825439319136 0.0813161715604269
"112031" 0.145518758805154 0.109269703940803
"112038" 0.44180902488663 0.304658836715037
"112044" 0.13667231648832 0.098582863956295
"112054" 0.0897826323069545 0.0698578598691509
"112055" 0.110607430182335 0.0877819880931175
"112057" 0.227555359134052 0.175303265787106
"112063" 0.25561611646549 0.202175238745296
"112065" 0.0761023998433566 0.0633326631469416
"112066" 0.122728071860065 0.0996291530361786
"112067" 0.158437958901018 0.130956248876542
"112099" 0.25977047184697 0.180192276121774
"112100" 0.699795119603436 0.327653166154818
"112102" 0.791559122375796 0.677114409216473
"112114" 0.337039740011268 0.247540602069498
"112151" 1.1353462269992 0.865257205259763
"112152" 0.403707206884711 0.300129042539741
"112153" 0.143958864152104 0.108387658889796
"112154" 0.352540885480846 0.30801820871424
"112157" 0.316520582599681 0.196718499934775
"112158" 0.299817066141833 0.245946916862843
"112160" 0.709114626747216 0.556968660981226
"112162" 0.406595335198231 0.348841652242866
"112171" 0.414549942064359 0.342637912269215
"112174" 0.0900646652993743 0.0710528612917119
"112175" 0.33150223909671 0.237711650403006
"112176" 0.609334181978147 0.502877526533111
"112178" 0.155196847110911 0.120447764010381
"112180" 0.339162047587818 0.256089410346636
"112181" 0.296992298535955 0.223446301848582
"112189" 0.213119104640541 0.149528636743401
"112190" 0.302337171061049 0.246866325353487
"112192" 0.196271909565646 0.139645511849091
"112195" 0.450123215183128 0.333471061881022
"112197" 0.0991867914279581 0.0809481260116973
"112198" 0.745655339605749 0.504261005081891
"112203" 0.264034532606032 0.160408283341536
"112204" 0.168838802339014 0.134543817177512
"112205" 0.473347904028818 0.355319808549595
"112206" 0.233821593806425 0.178255222780068
"112207" 0.197673201725895 0.152015343269107
"112210" 0.244432538866674 0.182349218464408
"112212" 0.247541981166875 0.182316734540651
"112214" 0.209569385716409 0.139059827476596
"112215" 0.298429461080023 0.226897070686641
"112216" 0.264743720344901 0.223241000596412
"112217" 0.0770243680891014 0.0651848831945988
"112218" 0.504711500038216 0.384074114631822
"112219" 0.318002674348556 0.271959030711143
"112221" 0.0783662564572024 0.0624415509289545
"112223" 0.09420175283209 0.074366418268078
"112226" 0.355519393625626 0.275897552255644
"112227" 0.370852860516795 0.302618985623588
"112231" 0.111099243876426 0.0873762355202689
"112232" 0.145467785385439 0.0977350972644262
"112233" 0.200576934378127 0.163260699423321
"112237" 0.304221892716184 0.218576504635873
"112238" 0.0772722269403578 0.0641063271818614
"112240" 0.151142782930161 0.116577031146335
"112242" 0.629247905264321 0.559942158748888
"112243" 0.29342603715672 0.248566908587583
"112244" 0.891445178079841 0.684380214011429
"112245" 0.405900001193483 0.316713189019897
"112247" 0.1785639313364 0.118424344494948
"112249" 0.226932440699647 0.18477760662863
"112251" 0.490047162687524 0.340630168035168
"112253" 0.321930720610466 0.261419471213602
"112254" 1.42917472745058 1.30923471861701
"112255" 0.119395684907837 0.0911127847735273
"112256" 0.164485526797387 0.120145104769293
"112259" 0.276618896437595 0.224006887706444
"112261" 0.336570421035337 0.258077694052779
"112262" 0.338669762803339 0.219745814326668
"112263" 0.957255610010212 0.819535580841868
"112264" 0.0925166861224285 0.0698760510634675
"112265" 0.122303787241869 0.0875955262403911
"112266" 0.532087693149685 0.303861613264123
"115001" 0.0768949394387661 0.0645596988818306
"117109" 0.830857335309552 0.596883885792381
"117130" 0.114072336663193 0.0950419959125876
"113003" 0.566900272038501 0.420013049969373
